ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-101,Body Cavities,Mediastinum,1,2,What is the superior boundary of the mediastinum?,"The superior thoracic aperture, also called the thoracic inlet.",mediastinum; boundaries
W1-102,Body Cavities,Mediastinum,1,2,What is the inferior boundary of the mediastinum?,The diaphragm.,mediastinum; boundaries
W1-103,Body Cavities,Mediastinum,1,2,What is the anterior boundary of the mediastinum?,The sternum.,mediastinum; boundaries
W1-104,Body Cavities,Mediastinum,1,2,What is the posterior boundary of the mediastinum?,The bodies of thoracic vertebrae T1 through T12.,mediastinum; boundaries
W1-105,Body Cavities,Mediastinum,1,2,What are the lateral boundaries of the mediastinum?,"The mediastinal pleura, the medial wall of each pleural cavity.",mediastinum; boundaries
W1-106,Body Cavities,Mediastinum,1,2,What plane divides the superior and inferior mediastinum?,The transverse thoracic plane.,mediastinum
W1-107,Body Cavities,Mediastinum,1,2,What landmarks define the transverse thoracic plane?,It runs from the sternal angle to the disc between T4 and T5.,mediastinum; transverse thoracic plane
W1-108,Body Cavities,Mediastinum,1,2,What are the four mediastinal compartments?,"Superior, anterior, middle, and posterior mediastinum.",mediastinum; compartments
W1-109,Body Cavities,Mediastinum,1,2,Where is the superior mediastinum located?,Above the transverse thoracic plane.,superior mediastinum
W1-110,Body Cavities,Mediastinum,1,2,Where is the anterior mediastinum located?,Between the body of the sternum and the pericardium.,anterior mediastinum
W1-111,Body Cavities,Mediastinum,1,2,Where is the middle mediastinum located?,The pericardium and the structures within it.,middle mediastinum
W1-112,Body Cavities,Mediastinum,1,2,Where is the posterior mediastinum located?,Between the pericardium and the thoracic vertebral column.,posterior mediastinum
W1-113,Body Cavities,Mediastinum,1,2,Name one major structure in the superior mediastinum.,"Arch of the aorta, trachea, esophagus, thoracic duct, thymus, phrenic nerves, or vagus nerves.",superior mediastinum
W1-114,Body Cavities,Mediastinum,1,2,Name one major structure in the middle mediastinum.,"Heart, pericardium, ascending aorta, pulmonary trunk, main bronchi, lower SVC, or phrenic nerves.",middle mediastinum
W1-115,Body Cavities,Mediastinum,1,2,Name one major structure in the posterior mediastinum.,"Descending thoracic aorta, esophagus, thoracic duct, azygos veins, sympathetic trunks, or vagus nerves.",posterior mediastinum
W1-116,Body Cavities,Peritoneum,1,2,What is the peritoneum?,The serous membrane of the abdominopelvic cavity.,peritoneum
W1-117,Body Cavities,Peritoneum,1,2,What is parietal peritoneum?,Peritoneum lining the wall of the abdominopelvic cavity.,parietal peritoneum
W1-118,Body Cavities,Peritoneum,1,2,What is visceral peritoneum?,Peritoneum wrapping the surface of abdominopelvic organs.,visceral peritoneum
W1-119,Body Cavities,Peritoneum,1,2,What is the peritoneal cavity?,"The potential space between peritoneal layers, holding a thin film of serous fluid.",peritoneal cavity
W1-120,Body Cavities,Peritoneum,1,2,What is a mesentery?,A double fold of peritoneum that slings an organ from the body wall and carries vessels and nerves.,mesentery
W1-121,Body Cavities,Peritoneum,1,2,What is the greater omentum?,An apron of peritoneum hanging from the greater curvature of the stomach.,greater omentum
W1-122,Body Cavities,Peritoneum,1,2,What is the lesser omentum?,A fold linking the lesser curvature of the stomach and the duodenum to the liver.,lesser omentum
W1-123,Body Cavities,Peritoneum,1,2,What is the mesocolon?,A peritoneal fold anchoring the transverse and sigmoid colon.,mesocolon
W1-124,Body Cavities,Peritoneum,1,2,What are peritoneal recesses?,"Low points of the peritoneal cavity where fluid, blood, or pus can collect.",peritoneal recesses
W1-125,Body Cavities,Peritoneal Relationships,1,2,What does intraperitoneal mean?,Almost completely wrapped in visceral peritoneum and slung by a mesentery.,intraperitoneal
W1-126,Body Cavities,Peritoneal Relationships,1,2,What does retroperitoneal mean?,Located behind the parietal peritoneum against the posterior abdominal wall.,retroperitoneal
W1-127,Body Cavities,Peritoneal Relationships,1,2,Name one intraperitoneal organ.,"Stomach, liver, gallbladder, spleen, first duodenum, jejunum, ileum, transverse colon, sigmoid colon, cecum, appendix, or pancreatic tail.",intraperitoneal
W1-128,Body Cavities,Peritoneal Relationships,1,2,What memory aid identifies retroperitoneal structures?,SADPUCKER.,retroperitoneal; SADPUCKER
W1-129,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does S stand for?",Suprarenal glands.,SADPUCKER
W1-130,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does A stand for?",Aorta and IVC.,SADPUCKER
W1-131,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does D stand for?","Duodenum, specifically the second, third, and fourth parts.",SADPUCKER
W1-132,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does P stand for?","Pancreas, specifically the head, neck, and body.",SADPUCKER
W1-133,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does U stand for?",Ureters.,SADPUCKER
W1-134,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does C stand for?","Colon, specifically ascending and descending colon.",SADPUCKER
W1-135,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does K stand for?",Kidneys.,SADPUCKER
W1-136,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does E stand for?","Esophagus, the short abdominal segment below the diaphragm.",SADPUCKER
W1-137,Body Cavities,SADPUCKER,1,2,"In SADPUCKER, what does R stand for?","Rectum, the lower portion below the peritoneal reflection.",SADPUCKER
W1-138,Body Cavities,Abdominopelvic Regions,1,2,What planes form the nine-region abdominal grid?,"Two midclavicular planes, the subcostal plane, and the transtubercular plane.",nine regions
W1-139,Body Cavities,Abdominopelvic Regions,1,2,What is the right hypochondriac region?,Upper right region; includes gallbladder and right lobe of liver.,nine regions
W1-140,Body Cavities,Abdominopelvic Regions,1,2,What is the epigastric region?,"Upper center region; includes stomach, duodenum, and pancreas.",nine regions
W1-141,Body Cavities,Abdominopelvic Regions,1,2,What is the left hypochondriac region?,Upper left region; includes spleen and tail of pancreas.,nine regions
W1-142,Body Cavities,Abdominopelvic Regions,1,2,What is the right lumbar region?,Middle right region; includes ascending colon and right kidney.,nine regions
W1-143,Body Cavities,Abdominopelvic Regions,1,2,What is the umbilical region?,Center region; includes transverse colon and coils of small intestine.,nine regions
W1-144,Body Cavities,Abdominopelvic Regions,1,2,What is the left lumbar region?,Middle left region; includes descending colon and left kidney.,nine regions
W1-145,Body Cavities,Abdominopelvic Regions,1,2,What is the right iliac region?,Lower right region; includes cecum and appendix.,nine regions
W1-146,Body Cavities,Abdominopelvic Regions,1,2,What is the hypogastric region?,Lower center region; includes urinary bladder and sigmoid colon.,nine regions
W1-147,Body Cavities,Abdominopelvic Regions,1,2,What is the left iliac region?,Lower left region; includes sigmoid colon.,nine regions
W1-148,Body Cavities,Quadrants,1,2,What two planes form the four abdominopelvic quadrants?,Median plane and transumbilical plane.,quadrants
W1-149,Body Cavities,Quadrants,1,2,What organs are commonly in the RUQ?,"Liver, gallbladder, right kidney, hepatic flexure, and head of pancreas.",RUQ
W1-150,Body Cavities,Quadrants,1,2,What organs are commonly in the LUQ?,"Stomach, spleen, left kidney, splenic flexure, and tail of pancreas.",LUQ
W1-151,Body Cavities,Quadrants,1,2,What organs are commonly in the RLQ?,"Cecum, appendix, and right ovary.",RLQ
W1-152,Body Cavities,Quadrants,1,2,What organs are commonly in the LLQ?,Sigmoid colon and left ovary.,LLQ
W1-153,Body Cavities,Quadrants,2,3,Which quadrant is the classic site of appendicitis pain?,Right lower quadrant.,RLQ; appendicitis
W1-154,Body Cavities,Quadrants,2,3,Which quadrant is classically associated with diverticulitis pain?,Left lower quadrant.,LLQ; diverticulitis
W1-155,Body Cavities,Quadrants,2,3,Which quadrant is classically associated with gallbladder disease?,Right upper quadrant.,RUQ; gallbladder
W1-156,Body Cavities,Peritoneal Relationships,2,3,Compare intraperitoneal and retroperitoneal organs by mobility.,Intraperitoneal organs are relatively mobile; retroperitoneal organs are more fixed against the posterior wall.,peritoneal relationships
W1-157,Body Cavities,Peritoneal Relationships,2,3,Why can retroperitoneal bleeding be harder to detect?,It can stay hidden behind the peritoneum and present as flank or back pain.,retroperitoneal; clinical
W1-158,Body Cavities,Peritoneal Relationships,3,4,A kidney injury causes flank pain with hidden bleeding. Which peritoneal relationship explains this?,The kidneys are retroperitoneal.,kidneys; retroperitoneal
W1-159,Body Cavities,Peritoneal Relationships,3,4,Blood from a ruptured intraperitoneal organ spreads freely. Why?,Intraperitoneal organs are within the peritoneal cavity where fluid can spread.,intraperitoneal; clinical
W1-160,Body Cavities,Mediastinum,3,4,A mass is found within the pericardium. Which mediastinal compartment is involved?,Middle mediastinum.,mediastinum; clinical
W1-161,Body Cavities,Mediastinum,3,4,A mass lies between the sternum and pericardium. Which mediastinal compartment is involved?,Anterior mediastinum.,mediastinum; clinical
W1-162,Body Cavities,Mediastinum,3,4,A mass lies between the pericardium and thoracic vertebrae. Which mediastinal compartment is involved?,Posterior mediastinum.,mediastinum; clinical
W1-163,Cell Anatomy,General Cell,1,2,What is a generalized cell?,A composite model showing features shared by most body cells.,cell anatomy
W1-164,Cell Anatomy,General Cell,1,2,Name the three basic regions of a generalized cell.,"Plasma membrane, cytoplasm, and nucleus.",cell anatomy
W1-165,Cell Anatomy,General Cell,1,2,What is the plasma membrane?,The outer boundary that encloses the cell and separates it from surroundings.,plasma membrane
W1-166,Cell Anatomy,General Cell,1,2,What is cytoplasm?,Everything between the plasma membrane and nucleus: cytosol plus organelles.,cytoplasm
W1-167,Cell Anatomy,General Cell,1,2,What is the nucleus?,"The cell’s control center, usually the largest structure.",nucleus
W1-168,Cell Anatomy,Plasma Membrane,1,2,What is the phospholipid bilayer?,A double layer of phospholipids forming the basic fabric of the membrane.,plasma membrane
W1-169,Cell Anatomy,Plasma Membrane,1,2,What does the fluid mosaic model describe?,Proteins drifting within the phospholipid bilayer.,fluid mosaic model
W1-170,Cell Anatomy,Plasma Membrane,1,2,What are integral proteins?,Proteins firmly embedded in the bilayer; many span it as transmembrane proteins.,integral proteins
W1-171,Cell Anatomy,Plasma Membrane,1,2,What do integral proteins commonly form?,"Channels, carriers, and receptors.",integral proteins
W1-172,Cell Anatomy,Plasma Membrane,1,2,What are peripheral proteins?,Proteins loosely attached to one membrane face or to integral proteins.,peripheral proteins
W1-173,Cell Anatomy,Plasma Membrane,1,2,What do peripheral proteins do?,Act as enzymes and brace cell shape.,peripheral proteins
W1-174,Cell Anatomy,Plasma Membrane,1,2,What does cholesterol do in the plasma membrane?,Stabilizes the membrane and keeps it fluid.,cholesterol
W1-175,Cell Anatomy,Plasma Membrane,1,2,What is the glycocalyx?,The fuzzy external coat of glycoproteins and glycolipids.,glycocalyx
W1-176,Cell Anatomy,Plasma Membrane,1,2,What does the glycocalyx do?,Acts as the cell’s identity badge for recognition and adhesion.,glycocalyx
W1-177,Cell Anatomy,Surface Specializations,1,2,What are microvilli?,Finger-like cell surface extensions that increase surface area for absorption.,microvilli
W1-178,Cell Anatomy,Surface Specializations,1,2,What are cilia?,Short hair-like extensions built on a 9+2 microtubule core that sweep substances across the surface.,cilia
W1-179,Cell Anatomy,Surface Specializations,1,2,What is a flagellum?,"A single long 9+2 extension that propels a cell; in humans, the sperm tail.",flagellum
W1-180,Cell Anatomy,Plasma Membrane,2,3,Compare integral and peripheral proteins.,Integral proteins are embedded in the bilayer; peripheral proteins attach loosely to a membrane face or integral protein.,membrane proteins
W1-181,Cell Anatomy,Surface Specializations,2,3,Compare microvilli and cilia by function.,Microvilli increase absorption surface area; cilia move substances across the cell surface.,microvilli; cilia
W1-182,Cell Anatomy,Surface Specializations,2,3,Compare cilia and flagellum by number and function.,Cilia are short and numerous for sweeping; a flagellum is long and propels the cell.,cilia; flagellum
W1-183,Cell Anatomy,Clinical Reasoning,3,4,A cell specialized for absorption has many finger-like apical projections. What are they?,Microvilli.,microvilli; application
W1-184,Cell Anatomy,Clinical Reasoning,3,4,Airway cells cannot clear mucus because hair-like projections are defective. Which structure is affected?,Cilia.,cilia; application
W1-185,Cell Anatomy,Clinical Reasoning,3,4,A cell needs many receptors for signaling. Which membrane protein category is most directly involved?,Integral proteins.,integral proteins; application
W1-186,Cell Anatomy,Nucleus,1,2,What is the nuclear envelope?,The double membrane enclosing the nucleus.,nuclear envelope
W1-187,Cell Anatomy,Nucleus,1,2,What is the outer nuclear membrane continuous with?,Rough ER.,nuclear envelope; rough ER
W1-188,Cell Anatomy,Nucleus,1,2,What are nuclear pores?,Protein-lined channels through the nuclear envelope that regulate traffic both ways.,nuclear pores
W1-189,Cell Anatomy,Nucleus,1,2,What exits the nucleus through nuclear pores?,Messenger RNA and ribosomal subunits.,nuclear pores
W1-190,Cell Anatomy,Nucleus,1,2,What is nucleoplasm?,The fluid inside the nucleus.,nucleoplasm
W1-191,Cell Anatomy,Nucleus,1,2,What is the nucleolus?,A dense body inside the nucleus where ribosomal subunits are assembled.,nucleolus
W1-192,Cell Anatomy,Nucleus,1,2,What is chromatin?,"Loose, threadlike DNA wound on proteins, present when the cell is not dividing.",chromatin
W1-193,Cell Anatomy,Nucleus,1,2,What are chromosomes?,Tightly coiled chromatin visible when the cell divides.,chromosomes
W1-194,Cell Anatomy,Nucleus,2,3,Compare chromatin and chromosomes.,Chromatin is loose DNA when not dividing; chromosomes are tightly coiled chromatin during division.,chromatin; chromosomes
W1-195,Cell Anatomy,Nucleus,2,3,Why are nuclear pores important?,"They regulate movement between nucleus and cytoplasm, including mRNA exit.",nuclear pores
